Title: Composition: Survivor Passport - PanCareSurPass Project HL7 FHIR Implementation Guide v0.2.0

                                                                                       0                                                                                        1                                                                                        2                                                                                        3                                       4
                        section                             C                          0..*                                                                    See section (Composition)                                                                                                                                                                                                       Nested Section
      section:medicalSuggestion                             C                          0..1                                                                              BackboneElement                                                                                                                                                                                                  Medical Suggestions
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         system                           NaN                          1..1                                                                                          uri                                                                                                             Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                        version                           NaN                          0..1                                                                                       string                                                                                                                                                                                  Version of the system - if relevant
                           code                           NaN                          1..1                                                                                         code                                                                                                                                               Symbol in syntax defined by the system Fixed Value: section-suggestion
                        display                           NaN                          0..1                                                                                       string                                                                                                                                                                                 Representation defined by the system
                   userSelected                           NaN                          0..1                                                                                      boolean                                                                                                                                                                       If this coding was chosen directly by the user
                           text                           NaN                          0..1                                                                                       string                                                                                                                                                                             Plain text representation of the concept
                         author                           NaN                          0..* Reference(Practitioner | PractitionerRole | Device | Patient | RelatedPerson | Organization)                                                                                                                                                                                 Who and/or what authored the section
                          focus                           NaN                          0..1                                                                          Reference(Resource)                                                                                                                                       Who/what the section is about, when it is not about the subject of composition
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
                           mode                           NaN                          0..1                                                                                         code                                                                                                         working | snapshot | changes Binding: ListMode (required): The processing mode that applies to this section.
                      orderedBy                           NaN                          0..1                                                                              CodeableConcept                                                                                                          Order of section entries Binding: ListOrderCodes (preferred): What order applies to the items in the entry.
                          entry                             C                          0..*                                                                          Reference(Resource)                                                                                                                                                                       A reference to data that supports this section
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
                        section                             C                          0..*                                                                    See section (Composition)                                                                                                                                                                                                       Nested Section
        section:otherConditions                             C                          0..1                                                                              BackboneElement                                                                                                                                                                                              Other Health Conditions
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         system                           NaN                          1..1                                                                                          uri                                                                                                             Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                        version                           NaN                          0..1                                                                                       string                                                                                                                                                                                  Version of the system - if relevant
                           code                           NaN                          1..1                                                                                         code                                                                                                                                          Symbol in syntax defined by the system Fixed Value: section-otherConditions
                        display                           NaN                          0..1                                                                                       string                                                                                                                                                                                 Representation defined by the system
                   userSelected                           NaN                          0..1                                                                                      boolean                                                                                                                                                                       If this coding was chosen directly by the user
                           text                           NaN                          0..1                                                                                       string                                                                                                                                                                             Plain text representation of the concept
                         author                           NaN                          0..* Reference(Practitioner | PractitionerRole | Device | Patient | RelatedPerson | Organization)                                                                                                                                                                                 Who and/or what authored the section
                          focus                           NaN                          0..1                                                                          Reference(Resource)                                                                                                                                       Who/what the section is about, when it is not about the subject of composition
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
                           mode                           NaN                          0..1                                                                                         code                                                                                                         working | snapshot | changes Binding: ListMode (required): The processing mode that applies to this section.
                      orderedBy                           NaN                          0..1                                                                              CodeableConcept                                                                                                          Order of section entries Binding: ListOrderCodes (preferred): What order applies to the items in the entry.
                          entry                             C                          0..*                                                                          Reference(Resource)                                                                                                                                                                       A reference to data that supports this section
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
                        section                             C                          0..*                                                                    See section (Composition)                                                                                                                                                                                                       Nested Section
               section:carePlan                             C                          0..1                                                                              BackboneElement                                                       Plan of Care Section cmp-1: A section must contain at least one of text, entries, or sub-sections cmp-2: A section can only have an emptyReason if it is empty
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         system                           NaN                          1..1                                                                                          uri                                                                                                                                                     Identity of the terminology system Fixed Value: http://loinc.org
                        version                           NaN                          0..1                                                                                       string                                                                                                                                                                                  Version of the system - if relevant
                           code                           NaN                          1..1                                                                                         code                                                                                                                                                          Symbol in syntax defined by the system Fixed Value: 18776-5
                        display                           NaN                          0..1                                                                                       string                                                                                                                                                                                 Representation defined by the system
                   userSelected                           NaN                          0..1                                                                                      boolean                                                                                                                                                                       If this coding was chosen directly by the user
                           text                           NaN                          0..1                                                                                       string                                                                                                                                                                             Plain text representation of the concept
                         author                           NaN                          0..* Reference(Practitioner | PractitionerRole | Device | Patient | RelatedPerson | Organization)                                                                                                                                                                                 Who and/or what authored the section
                          focus                           NaN                          0..1                                                                          Reference(Resource)                                                                                                                                       Who/what the section is about, when it is not about the subject of composition
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
                           mode                           NaN                          0..1                                                                                         code                                                                                                         working | snapshot | changes Binding: ListMode (required): The processing mode that applies to this section.
                      orderedBy                           NaN                          0..1                                                                              CodeableConcept                                                                                                          Order of section entries Binding: ListOrderCodes (preferred): What order applies to the items in the entry.
               Slices for entry                             C                          1..*                                                      Reference(CarePlan | DocumentReference)                                                                                                                                                Care Plan Slice: Unordered, Open by type:resolve(), profile:resolve()
                 entry:carePlan                             C                          1..*                                                     Reference(CarePlan: PCSP-generated plan)                                                                                                                                                                       A reference to data that supports this section
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
                        section                             C                          0..*                                                                    See section (Composition)                                                                                                                                                                                                       Nested Section
  Documentation for this format Documentation for this format Documentation for this format                                                                Documentation for this format                                                                                                                                                                                        Documentation for this format

                  0           1
Additional Bindings     Purpose
       AllLanguages Max Binding

                                                                                          0           1                                                                                                                                      2   3
                                                                                       Path Conformance                                                                                                                        ValueSet / Code URI
                                                                       Composition.language   preferred CommonLanguages  Additional Bindings  Purpose  AllLanguages  Max Binding  http://hl7.org/fhir/ValueSet/languagesfrom the FHIR Standard NaN
                                                                         Composition.status    required                                           CompositionStatushttp://hl7.org/fhir/ValueSet/composition-status|4.0.1from the FHIR Standard NaN
                                                                           Composition.type   preferred                                                       Pattern: surpasshttp://hl7.org/fhir/ValueSet/doc-typecodesfrom the FHIR Standard NaN
                                                                       Composition.category     example                                            DocumentClassValueSethttp://hl7.org/fhir/ValueSet/document-classcodesfrom the FHIR Standard NaN
                                                                Composition.confidentiality    required  v3.ConfidentialityClassificationhttp://terminology.hl7.org/ValueSet/v3-ConfidentialityClassification|2014-03-26from the FHIR Standard NaN
                                                                  Composition.attester.mode    required                        CompositionAttestationModehttp://hl7.org/fhir/ValueSet/composition-attestation-mode|4.0.1from the FHIR Standard NaN
                                                                 Composition.relatesTo.code    required                            DocumentRelationshipTypehttp://hl7.org/fhir/ValueSet/document-relationship-type|4.0.1from the FHIR Standard NaN
                                                                     Composition.event.code     example                                                                                  ActCodehttp://terminology.hl7.org/ValueSet/v3-ActCode NaN
                                                                   Composition.section.code     example                                               DocumentSectionCodeshttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                                                   Composition.section.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                                              Composition.section.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                                            Composition.section.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                                               Composition.section:flt.code     example                                        Pattern: LOINC Code 72135-7http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                                               Composition.section:flt.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                                          Composition.section:flt.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                                        Composition.section:flt.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                          Composition.section:flt.section:chemotherapy.code     example                                        Pattern: LOINC Code 11486-8http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                          Composition.section:flt.section:chemotherapy.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                     Composition.section:flt.section:chemotherapy.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                   Composition.section:flt.section:chemotherapy.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                               Composition.section:flt.section:stemCellTransplantation.code     example                                               Pattern: section-scthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                               Composition.section:flt.section:stemCellTransplantation.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                          Composition.section:flt.section:stemCellTransplantation.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                        Composition.section:flt.section:stemCellTransplantation.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                          Composition.section:flt.section:radiotherapy.code     example                                                Pattern: section-rthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                          Composition.section:flt.section:radiotherapy.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                     Composition.section:flt.section:radiotherapy.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                   Composition.section:flt.section:radiotherapy.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                          Composition.section:flt.section:majorSurgery.code     example                                         Pattern: LOINC Code 8690-0http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                          Composition.section:flt.section:majorSurgery.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                     Composition.section:flt.section:majorSurgery.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                   Composition.section:flt.section:majorSurgery.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                            Composition.section:flt.section:otherInfos.code     example                                        Pattern: LOINC Code 55752-0http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                            Composition.section:flt.section:otherInfos.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                       Composition.section:flt.section:otherInfos.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                     Composition.section:flt.section:otherInfos.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                     Composition.section:flt.section:medicalSuggestion.code     example                                        Pattern: section-suggestionhttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                     Composition.section:flt.section:medicalSuggestion.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                Composition.section:flt.section:medicalSuggestion.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                              Composition.section:flt.section:medicalSuggestion.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                       Composition.section:flt.section:relapseAfterEOT.code     example                                   Pattern: section-relapseAfterEOThttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                       Composition.section:flt.section:relapseAfterEOT.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
                                  Composition.section:flt.section:relapseAfterEOT.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
                                Composition.section:flt.section:relapseAfterEOT.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:chemotherapy.code     example                                        Pattern: LOINC Code 11486-8http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:chemotherapy.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
             Composition.section:flt.section:relapseAfterEOT.section:chemotherapy.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
           Composition.section:flt.section:relapseAfterEOT.section:chemotherapy.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
       Composition.section:flt.section:relapseAfterEOT.section:stemCellTransplantation.code     example                                               Pattern: section-scthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
       Composition.section:flt.section:relapseAfterEOT.section:stemCellTransplantation.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
  Composition.section:flt.section:relapseAfterEOT.section:stemCellTransplantation.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
Composition.section:flt.section:relapseAfterEOT.section:stemCellTransplantation.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:radiotherapy.code     example                                                Pattern: section-rthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:radiotherapy.mode    required                                                             ListModehttp://hl7.org/fhir/ValueSet/list-mode|4.0.1from the FHIR Standard NaN
             Composition.section:flt.section:relapseAfterEOT.section:radiotherapy.orderedBy   preferred                                                            ListOrderCodeshttp://hl7.org/fhir/ValueSet/list-orderfrom the FHIR Standard NaN
           Composition.section:flt.section:relapseAfterEOT.section:radiotherapy.emptyReason   preferred                                                   ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
